City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Massaguet,TD,74.35,overcast clouds,12.4755,15.4365,Alwatane
424,San Javier,ES,89.58,few clouds,37.8063,-0.8374,Hotel Mar Menor
426,Pacific Grove,US,71.2,clear sky,36.6177,-121.9166,Lovers Point Inn
427,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
430,Palmer,US,84.43,broken clouds,42.1584,-72.3287,Wedgewood Motel
431,East Angus,CA,79.43,scattered clouds,45.4834,-71.6658,Pierrette Bolduc
435,Liberal,US,83.44,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
439,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
445,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
447,Nuqui,CO,80.28,light rain,5.7125,-77.2708,Hotel Nuquimar
448,Gorontalo,ID,74.44,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
449,Sandakan,MY,77.11,overcast clouds,5.8402,118.1179,Hotel Sandakan
452,Entre Rios,BR,73.29,broken clouds,-11.9419,-38.0844,Pousada Porteira
456,Diplo,PK,82.45,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
458,Nata,PA,84.07,broken clouds,8.3333,-80.5167,Rey David
460,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
461,Hamilton,US,81.61,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
464,Dodge City,US,87.24,clear sky,37.7528,-100.0171,Windsor Inn & Suites
466,Angoche,MZ,71.6,few clouds,-16.2325,39.9086,Guest House HESADA
477,Klyuchi,RU,71.87,broken clouds,52.2667,79.1667,Vesolaya Mayovka
478,Jingdezhen,CN,81.1,scattered clouds,29.2947,117.2079,Garden Hotel
486,Kumbakonam,IN,81.41,broken clouds,10.9667,79.3833,Vinayaga by Poppys - Kumbakonam
487,Veraval,IN,81.37,overcast clouds,20.9,70.3667,Lords Inn Somnath
491,Hambantota,LK,79.41,overcast clouds,6.1241,81.1185,Bungalow 63
494,Kudahuvadhoo,MV,82.71,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
